,componentType,componentProps/sx/maxWidth,id,componentProps/sx/py,componentProps/sx/px,componentProps/sx/borderRadius,componentProps/sx/textAlign,componentProps/sx/width,componentProps/sx/padding,componentProps/sx/bgcolor,componentProps/sx/display,componentProps/sx/justifyContent,componentProps/sx/alignItems,componentProps/sx/boxShadow,componentProps/elevation,componentProps/sx/p,componentProps/sx/height,componentProps/sx/boxSizing,componentProps/sx/marginBottom,componentProps/sx/marginTop,componentProps/sx/margin,componentProps/sx/borderLeft,componentProps/raised,componentProps/sx/border,componentProps/sx/cursor,componentProps/sx/mt,componentProps/sx/minWidth,componentProps/sx/m,componentProps/sx/minHeight,componentProps/sx/borderTop,componentProps/sx/backgroundColor,componentProps/variant,componentProps/sx/marginLeft,componentProps/sx/my,componentProps/sx/color,componentProps/sx/flexDirection,componentProps/sx/gap,componentProps/sx/flexWrap,componentProps/sx/fontFamily,componentProps/sx/fontWeight,componentProps/sx/flexGrow,componentProps/sx/mx,componentProps/sx/pl,componentProps/sx/pt,componentProps/sx/pr,componentProps/sx/mb,componentProps/sx/ml,componentProps/sx/position,componentProps/sx/pb,componentProps/sx/overflowY,componentProps/sx/mr,componentProps/sx/background,componentProps/sx/zIndex,componentProps/dense,componentProps/sx/overflow,componentProps/sx/paddingBottom,componentProps/sx/top,componentProps/sx/right,componentProps/component,componentProps/defaultChecked,componentProps/disabled,componentProps/className,componentProps/checked,componentProps/required,componentProps/size,componentProps/label,componentProps/color,componentProps/sx/fontSize,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/color,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/& + .MuiSwitch-track/backgroundColor,componentProps/sx/textTransform,componentProps/disableElevation,componentProps/align,componentProps/sx/borderColor,componentProps/sx/&:hover/bgcolor,componentProps/fullWidth,componentProps/sx/bgColor,componentProps/sx/marginRight,componentProps/sx/&:hover /bgcolor,componentProps/sx/&:hover /color,componentProps/varaiant,componentProps/sx/dsplay,componentProps/startIcon/key,componentProps/startIcon/ref,componentProps/startIcon/_owner,componentProps/sx/letterSpacing,componentProps/sx/& .MuiButton-startIcon/verticalAlign,componentProps/sx/& .MuiButton-startIcon/mr,componentProps/sx/& .MuiButton-startIcon/mb,componentProps/m,componentProps/sx/&:hover/color,componentProps/sx/paddingTop,componentProps/sx/fontweight,componentProps/sx/alignitems,componentProps/sx/paddingInline,componentProps/sx/paddingBlock,componentProps/varient,componentProps/variat,componentProps/sx/diaplay,componentProps/sx/left,componentProps/sx/textDecoration,componentProps/varaint,componentProps/sx/widh,componentProps/p,componentProps/sx/bottom,componentProps/sx/& .css-1d6wzja-MuiButton-startIcon>*:nth-of-type(1)/fontSize,componentProps/style/width,componentProps/style/height,componentProps/style/textTransform,componentProps/style/fontSize,componentProps/sx/dosplay,componentProps/sx/diaplsy,componentProps/sx/&:hover/backgroundColor,componentProps/mt,componentProps/sx/paddingRight,componentProps/sx/spacing,componentProps/sx/borderBottom,componentProps/sx/wordWrap,componentProps/px,componentProps/height,componentProps/mb,componentProps/sx/borderTopLeftRadius,componentProps/sx/borderBottomLeftRadius,componentProps/completed,componentProps/active,componentProps/error,componentProps/icon,componentProps/fontSize,componentProps/sx/verticalAlign,componentProps/sx/transform,componentProps/fontWeight,componentProps/sx/marginInline,componentProps/sx/stroke,componentProps/sx/strokeWidth,componentProps/sx/opacity,componentProps/ml,componentProps/mr,componentProps/marginRight,componentProps/bgcolor,componentProps/indicator,componentProps/selected,componentProps/textColor,componentProps/value,componentProps/indeterminate,componentProps/edge,componentProps/tabIndex,componentProps/inputProps/aria-labelledby,componentProps/labe,componentProps/name,componentProps/inputProps/aria-label,componentProps/default
10,Card,,tknu39466SdWckH5yLjED,,,5px,,,,,,,,,0.0,1rem,,,,,0.5rem,4px solid #788bf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Card,,9k7Iaht4plxNihbnJYOo4,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Card,,B01cPVO9y8UOPKPIGXfA6,,,,,100%,,,,,,,,,300px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Card,,f0wri6_kZb1t-fcE8tON6,,,7px,,,,,flex,space-between,center,,3.0,1rem 2rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Card,,cgH4ALBcRA8d2Jx1bMU6Y,,,0,,36rem,,#EEEEEE,flex,space-between,,,0.0,0.2rem 1rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Card,,Bcl2MALtR3t_yFGAAD3V5,,,,,,,,,,,,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Card,200px,ySebfo5qIRcjzd7zu35h6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Card,,kM-UaHxVG_hFSEo21m4bn,,,,,300px,30px,,,,,,,,,,,,,,,1px solid #8d93a1,pointer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Card,42rem,pG6JdRNaO1iJ8Yjo6oQSP,,,25px,,,,,,,,none,,2,,,,,,,,2px solid #63b56d,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Card,,XK0Ur1YbMucFdyR3d-11Q,,,0,,,,,flex,center,center,0 8px 2px 0px #e7e7e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Card,,n17VXQ1Ycqo6cTFZ9hrvY,,,,center,315,,#f1eded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Card,200px,FiZYiCstjxgyqUCcOGLwX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Card,,AHYZqYGdHNkFASq22OugO,,,,,,,,,,,,,,,,,,,,,1px solid #b5b5b571,,,250px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Card,200px,McHX4x_SwHTq-Hoon7LUx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Card,,orl6lSnwpt8OqqUhrVfbm,,,,,500px,20px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Card,42rem,zM6CotxULuPM5xQulQy4q,,,25px,,,,,,,,none,,2,,,,,,,,2px solid #63b56d,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Card,,gXXfwANyhBSp7FLq9JQkU,,,10px,,,,#a2a2a8,,,,,,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Card,,VJn6IbTR_mrgmpSavz83r,10px,30px,,,100%,,,flex,,,,,,,border-box,,,,,,1px solid #b5b5b5,,,,,180px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Card,,BV1W73nISlh1XW8-KDKV_,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Card,,rQfp66ymLxJDudCihMncP,,,0,,100%,,,,,,0 1px 20px 0 rgb(69 90 100 / 8%),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Card,87%,0qrTtfmmZF9AqEWw1VIRZ,,,,,,,,,,,,,15px,,,,,,,,,,45px,,,,5px solid #a2c4d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Card,,bl5H8vZGvKXiptxBcACwr,,,,,,,,,,,,,,300px,,,,,,,,,,,,,,#ffffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Card,,xnitES8fiyTkWgqfcTPRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Card,,R_TaPgJxv_GHpjf9Pe2AX,,,10px,,360px,,,,,,,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Card,200px,r0m14VA9awES5Ttl4dvJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Card,350,QYqF9Wvny1d35e5YKV_vK,,,10px,,,,,,,,,,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Card,,q9Nu3QV73s3VWExvj0qlG,,,10px,,,,,,,,,,2rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Card,42rem,qMSxgS9nrF1jU_GeNVxba,,,25px,,,,,,,,none,,2,,,,,,,,2px solid #63b56d,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Card,,-_0XlTDDi6x_b1VpP149J,,,,,,,,,,,,,5px,,,,,,,,1px solid #ada6a650,,,,,,,,outlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Card,,MiQvV-R4swbx3AWsK6D4N,,,10px,,,,,,,,,,1rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Card,,gM7Xcjc4dItjHC2KaewqQ,,,,,300px,,,,,,,,,,,,30px,,,,,,,,,,,,,100px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Card,,TxVJ6suUfQylaIgDpQqlo,10px,30px,,,100%,,,flex,,,,,,,border-box,,,,,,1px solid #b5b5b5,,,,,180px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Card,,3tuSDwe-MxC4o0ReGHFCb,,,1.2rem,,22rem,,,,,,,,0.5rem 2rem,,,,,,,,,,,,,,,,outlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Card,,J63sWSB4cWCb6hOQ-8jqv,,,,,,,,flex,,,,,,,,,,,,,,,,,,,,,,,0.9rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Card,,IYlUZdnukFbLtaiywWOXG,2,3,6px,,,,,flex,,flex-end,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Card,,Z_ukAhISaJiW8eLb0AcXl,2rem,1rem,10px,center,100%,,,,,,,0,,,,,,,,,,,,,,,,#f1f5f9,,,,#64748b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Card,,VC5zzcQIyDOPPo6GeBj-h,,,10px,,360px,,,,,,,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Card,,MkWM8oUm3992iuYkxBskj,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Card,200px,uV_7qEN03iB6p0fdp31jw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Card,,t7XNt6JgGb55AH7071PXV,,,0,,,,,,,,,0,0.7rem 1.5rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Card,200,cfGr8szQ4j8jg4xGQ-29b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Card,,f4bGPV-78-Z9gWGPiO8gT,10px,30px,,,100%,,,flex,,,,,,,border-box,,,,,,1px solid #b5b5b5,,,,,180px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Card,,d8flfoKMJEqQEu9q-t3IF,,,,,,,,,,,,,,,,,,,,,,,1.5rem,,,,,,outlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Card,,X73Hv2itWpP0c_qSCQN7o,,,,,400px,10px,,flex,,,,,,,border-box,,,,,,,,,,,,,,,,,,column,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Card,,q2gmDixC0lR6yyK4XjFXW,,,,,300px,,,,,,,,,,,,30px,,,,,,,,,,,,,,,,,,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
